Header	GO
SL1344_RS24135	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS24165	GO:0008150;GO:0009987
SL1344_RS24180	GO:0008150;GO:0009987
SL1344_RS24185	GO:0006629;GO:0006644;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008610;GO:0008654;GO:0009058;GO:0009987;GO:0019637;GO:0044237;GO:0044238;GO:0044255;GO:0071704;GO:0090407;GO:1901576
SL1344_RS00010	GO:0006082;GO:0006520;GO:0006553;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009066;GO:0009067;GO:0009085;GO:0009089;GO:0009987;GO:0016053;GO:0016310;GO:0019752;GO:0043436;GO:0043648;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0046451;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00015	GO:0006082;GO:0006520;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009066;GO:0009067;GO:0009987;GO:0016053;GO:0016310;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00020	GO:0006082;GO:0006520;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009066;GO:0009067;GO:0009987;GO:0016053;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00035	GO:0005975;GO:0006091;GO:0006139;GO:0006163;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009117;GO:0009987;GO:0019362;GO:0019637;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0046496;GO:0055086;GO:0071704;GO:0072521;GO:0072524;GO:1901135;GO:1901360;GO:1901564
SL1344_RS00040	GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009987;GO:0018130;GO:0019637;GO:0044237;GO:0044249;GO:0046483;GO:0051189;GO:0071704;GO:0090407;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS00065	GO:0006139;GO:0006259;GO:0006260;GO:0006457;GO:0006725;GO:0006807;GO:0006950;GO:0008150;GO:0008152;GO:0009628;GO:0009987;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050896;GO:0071704;GO:0090304;GO:1901360
SL1344_RS00085	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS00090	GO:0005975;GO:0008150;GO:0008152;GO:0044238;GO:0071704
SL1344_RS00105	GO:0007155;GO:0008150;GO:0009987
SL1344_RS00110	GO:0006457;GO:0008150;GO:0009987;GO:0016043;GO:0045229;GO:0061077;GO:0071554;GO:0071555;GO:0071840
SL1344_RS00115	GO:0008150;GO:0008283;GO:0009297;GO:0009987;GO:0016043;GO:0022607;GO:0030030;GO:0030031;GO:0043711;GO:0071840
SL1344_RS00120	GO:0007155;GO:0008150;GO:0009987
SL1344_RS00125	GO:0007155;GO:0008150;GO:0009987
SL1344_RS00130	GO:0007155;GO:0008150;GO:0009987
SL1344_RS00135	GO:0006457;GO:0008150;GO:0009987;GO:0016043;GO:0045229;GO:0061077;GO:0071554;GO:0071555;GO:0071840
SL1344_RS00150	GO:0000160;GO:0006355;GO:0007165;GO:0008150;GO:0009889;GO:0009987;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0035556;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS00160	GO:0000160;GO:0006355;GO:0007165;GO:0008150;GO:0009889;GO:0009987;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0035556;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS00170	GO:0006139;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009117;GO:0009987;GO:0019439;GO:0019637;GO:0034641;GO:0034655;GO:0044237;GO:0044238;GO:0044248;GO:0044270;GO:0044281;GO:0046434;GO:0046483;GO:0046700;GO:0055086;GO:0071704;GO:1901360;GO:1901361;GO:1901575
SL1344_RS00200	GO:0008150;GO:0042592;GO:0065007
SL1344_RS00210	GO:0005975;GO:0008150;GO:0008152;GO:0044238;GO:0071704
SL1344_RS00215	GO:0006810;GO:0006811;GO:0006812;GO:0006814;GO:0008150;GO:0008643;GO:0030001;GO:0051179;GO:0051234;GO:0071702
SL1344_RS00220	GO:0006412;GO:0006518;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0019538;GO:0034641;GO:0043043;GO:0043170;GO:0043603;GO:0043604;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0071704;GO:1901564;GO:1901566;GO:1901576
SL1344_RS00230	GO:0006139;GO:0006725;GO:0006753;GO:0006766;GO:0006767;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009110;GO:0009117;GO:0009123;GO:0009124;GO:0009156;GO:0009161;GO:0009165;GO:0009259;GO:0009260;GO:0009987;GO:0016310;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0034641;GO:0034654;GO:0042364;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046390;GO:0046483;GO:0055086;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576
SL1344_RS00235	GO:0006082;GO:0006139;GO:0006399;GO:0006418;GO:0006520;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0016070;GO:0019752;GO:0034641;GO:0034660;GO:0043038;GO:0043039;GO:0043170;GO:0043436;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0071704;GO:0090304;GO:1901360;GO:1901564
SL1344_RS00240	GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0044238;GO:0071704;GO:1901564
SL1344_RS00245	GO:0006457;GO:0008150;GO:0009987
SL1344_RS00250	GO:0006081;GO:0006082;GO:0006090;GO:0006629;GO:0006644;GO:0006720;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0008299;GO:0008610;GO:0008654;GO:0009058;GO:0009987;GO:0019637;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044281;GO:0071704;GO:0090407;GO:1901135;GO:1901576
SL1344_RS00260	GO:0006139;GO:0006206;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009112;GO:0009987;GO:0034641;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:0072521;GO:0072527;GO:1901360;GO:1901564
SL1344_RS00265	GO:0000160;GO:0007165;GO:0008150;GO:0009987;GO:0035556;GO:0050789;GO:0050794;GO:0065007
SL1344_RS00270	GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0019538;GO:0036211;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0071704;GO:1901564
SL1344_RS00275	GO:0006810;GO:0006811;GO:0006812;GO:0006814;GO:0008150;GO:0030001;GO:0051179;GO:0051234
SL1344_RS00280	GO:0006810;GO:0006811;GO:0006812;GO:0006814;GO:0008150;GO:0008152;GO:0030001;GO:0051179;GO:0051234
SL1344_RS00285	GO:0006810;GO:0006811;GO:0006812;GO:0006814;GO:0008150;GO:0009987;GO:0030001;GO:0034220;GO:0051179;GO:0051234;GO:0055085;GO:0098655;GO:0098660;GO:0098662;GO:0140352
SL1344_RS00290	GO:0006082;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0019752;GO:0043436;GO:0044237;GO:0044281;GO:0071704
SL1344_RS00295	GO:0008150;GO:0008152;GO:0009058
SL1344_RS00305	GO:0006139;GO:0006163;GO:0006637;GO:0006725;GO:0006753;GO:0006790;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009117;GO:0009150;GO:0009259;GO:0009987;GO:0019637;GO:0019693;GO:0033865;GO:0033875;GO:0034032;GO:0034641;GO:0035383;GO:0043603;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:0072521;GO:1901135;GO:1901360;GO:1901564
SL1344_RS00310	GO:0006139;GO:0006163;GO:0006637;GO:0006725;GO:0006753;GO:0006790;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009117;GO:0009150;GO:0009259;GO:0009987;GO:0019637;GO:0019693;GO:0033865;GO:0033875;GO:0034032;GO:0034641;GO:0035383;GO:0043603;GO:0044237;GO:0044238;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:0072521;GO:1901135;GO:1901360;GO:1901564
SL1344_RS00315	GO:0008150;GO:0008152;GO:0009058;GO:0051189
SL1344_RS00320	GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009987;GO:0016310;GO:0044237
SL1344_RS00325	GO:0006082;GO:0006520;GO:0006553;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009066;GO:0009067;GO:0009085;GO:0009089;GO:0009987;GO:0016053;GO:0019752;GO:0043436;GO:0043648;GO:0043650;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0046451;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00335	GO:0006082;GO:0006139;GO:0006206;GO:0006220;GO:0006221;GO:0006520;GO:0006525;GO:0006526;GO:0006541;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009064;GO:0009084;GO:0009112;GO:0009117;GO:0009123;GO:0009124;GO:0009129;GO:0009130;GO:0009156;GO:0009161;GO:0009165;GO:0009218;GO:0009220;GO:0009259;GO:0009260;GO:0009987;GO:0016053;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0019752;GO:0034641;GO:0034654;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046112;GO:0046390;GO:0046394;GO:0046483;GO:0055086;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00340	GO:0006082;GO:0006139;GO:0006220;GO:0006221;GO:0006520;GO:0006525;GO:0006526;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009064;GO:0009084;GO:0009117;GO:0009123;GO:0009124;GO:0009129;GO:0009130;GO:0009156;GO:0009161;GO:0009165;GO:0009218;GO:0009220;GO:0009259;GO:0009260;GO:0009987;GO:0016053;GO:0018130;GO:0019438;GO:0019637;GO:0019693;GO:0019752;GO:0034641;GO:0034654;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046390;GO:0046394;GO:0046483;GO:0055086;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901135;GO:1901137;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00345	GO:0006139;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0016070;GO:0018130;GO:0019438;GO:0032774;GO:0034641;GO:0034654;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0046483;GO:0071704;GO:0090304;GO:1901360;GO:1901362;GO:1901576
SL1344_RS00350	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00355	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00360	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00370	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00375	GO:0006575;GO:0006807;GO:0006810;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0051179;GO:0051234;GO:0071702;GO:0071704;GO:0071705;GO:1901564
SL1344_RS00385	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00390	GO:0006575;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0034641;GO:0044237;GO:0071704;GO:1901564
SL1344_RS00435	GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0030001;GO:0048518;GO:0048522;GO:0050789;GO:0050794;GO:0051179;GO:0051234;GO:0065007;GO:0065009
SL1344_RS00440	GO:0008150;GO:0042221;GO:0050896
SL1344_RS00445	GO:0006082;GO:0006520;GO:0006575;GO:0006725;GO:0006760;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009069;GO:0009070;GO:0009987;GO:0016053;GO:0018130;GO:0019438;GO:0019752;GO:0034641;GO:0042398;GO:0042558;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046394;GO:0046483;GO:0071704;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00465	GO:0006081;GO:0006725;GO:0006766;GO:0006767;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009110;GO:0009987;GO:0018130;GO:0019438;GO:0019637;GO:0034641;GO:0042364;GO:0044237;GO:0044249;GO:0044271;GO:0044281;GO:0044283;GO:0046483;GO:0071704;GO:0072524;GO:0072525;GO:0090407;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901615;GO:1901617
SL1344_RS00470	GO:0006457;GO:0008150;GO:0009987;GO:0016043;GO:0022607;GO:0043165;GO:0061024;GO:0065007;GO:0065008;GO:0071709;GO:0071840
SL1344_RS00475	GO:0006810;GO:0008150;GO:0009987;GO:0016043;GO:0022607;GO:0042221;GO:0043165;GO:0050896;GO:0051179;GO:0051234;GO:0061024;GO:0071702;GO:0071709;GO:0071840
SL1344_RS00485	GO:0001522;GO:0006139;GO:0006396;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360
SL1344_RS00490	GO:0006355;GO:0008150;GO:0009889;GO:0010468;GO:0010556;GO:0019219;GO:0019222;GO:0031323;GO:0031326;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0080090;GO:2001141
SL1344_RS00495	GO:0006139;GO:0006259;GO:0006260;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:1901360
SL1344_RS00510	GO:0005975;GO:0005996;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009056;GO:0009058;GO:0009987;GO:0016052;GO:0019321;GO:0019323;GO:0019637;GO:0044237;GO:0044238;GO:0044281;GO:0044282;GO:0046365;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901575;GO:1901576
SL1344_RS00515	GO:0005975;GO:0005996;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009056;GO:0009058;GO:0009987;GO:0016052;GO:0019321;GO:0019323;GO:0019637;GO:0044237;GO:0044238;GO:0044281;GO:0044282;GO:0046365;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901575;GO:1901576
SL1344_RS00520	GO:0005975;GO:0005996;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009056;GO:0009058;GO:0009987;GO:0016052;GO:0019321;GO:0019323;GO:0019637;GO:0044237;GO:0044238;GO:0044281;GO:0044282;GO:0046365;GO:0071704;GO:0090407;GO:1901135;GO:1901137;GO:1901575;GO:1901576
SL1344_RS00540	GO:0006810;GO:0008150;GO:0051179;GO:0051234;GO:0071702;GO:0071705
SL1344_RS00545	GO:0006810;GO:0008150;GO:0009987;GO:0051179;GO:0051234;GO:0055085;GO:0071702;GO:0071705
SL1344_RS00550	GO:0006355;GO:0008150;GO:0009889;GO:0009890;GO:0009891;GO:0009892;GO:0009893;GO:0010468;GO:0010556;GO:0010557;GO:0010558;GO:0010604;GO:0010605;GO:0019219;GO:0019222;GO:0031323;GO:0031324;GO:0031325;GO:0031326;GO:0031327;GO:0031328;GO:0045892;GO:0045934;GO:0048518;GO:0048519;GO:0048522;GO:0048523;GO:0050789;GO:0050794;GO:0051171;GO:0051172;GO:0051173;GO:0051252;GO:0051253;GO:0060255;GO:0065007;GO:0080090;GO:1902679;GO:2001141
SL1344_RS00560	GO:0006082;GO:0006520;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009081;GO:0009082;GO:0009987;GO:0016053;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
SL1344_RS00565	GO:0006082;GO:0006520;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009081;GO:0009082;GO:0009987;GO:0016053;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607
